G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
7,2022-11-27,Montana,W,59,56,21,43,.488,3,14,.214,14,23,.609,3,22,14,8,6,6,13,24,51,.471,1,11,.091,7,11,.636,7,30,7,3,2,13,19
8,2022-11-30,Arkansas-Pine Bluff,W,81,53,27,50,.540,11,24,.458,16,22,.727,8,33,24,14,10,15,17,20,59,.339,0,14,.000,13,20,.650,13,30,6,9,1,16,21
9,2022-12-03,Portland State,L,64,68,18,45,.400,5,21,.238,23,34,.676,6,27,14,5,1,14,23,22,44,.500,4,17,.235,20,27,.741,1,23,12,5,2,13,29
10,2022-12-06,South Dakota,W,79,58,25,51,.490,11,24,.458,18,22,.818,7,32,19,7,7,8,14,21,57,.368,3,21,.143,13,15,.867,11,31,7,5,2,10,20
11,2022-12-09,Arkansas State,W,80,55,29,52,.558,11,23,.478,11,13,.846,5,22,19,11,6,4,11,21,53,.396,6,12,.500,7,9,.778,12,30,12,2,1,15,10
12,2022-12-18,Tarleton State,W,81,67,29,50,.580,9,22,.409,14,17,.824,8,33,18,4,7,15,19,24,53,.453,0,3,.000,19,27,.704,8,21,5,11,1,7,20
13,2022-12-20,Northern Colorado,W,67,65,24,55,.436,5,22,.227,14,21,.667,5,32,11,3,5,7,16,23,58,.397,5,23,.217,14,19,.737,8,38,13,2,2,11,19
14,2022-12-28,San Diego State,L,55,71,21,49,.429,8,22,.364,5,5,1.000,4,17,15,7,2,14,16,24,49,.490,11,23,.478,12,18,.667,9,30,10,8,5,13,13
15,2022-12-31,Nevada,L,69,75,24,52,.462,9,21,.429,12,16,.750,5,25,18,4,2,12,21,23,51,.451,6,14,.429,23,26,.885,8,32,12,6,2,13,22
16,2023-01-03,Utah State,L,65,77,26,60,.433,9,26,.346,4,7,.571,6,22,18,4,4,11,22,25,49,.510,6,12,.500,21,27,.778,8,35,10,4,2,11,14
